Dataset,Algorithm,k,ef,IS_MB,NMCS,IT_s,Recall,Pruning
mnist,DAP_k10_th6504088.000,100,200,27.7736,1070.88,3.50965,0.9934,0.502867
mnist,DAP_k20_th8454487.000,100,200,27.7738,1072.41,3.23798,0.9929,0.499995
mnist,DAP_k50_th4232707.000,50,200,27.7681,1068.04,3.60507,0.9978,0.501236
mnist,DAP_k100_th5006636.000,100,200,27.7668,1069.28,3.68359,0.9945,0.504424
mnist,DAP_k10_th5695422.000,100,200,27.7722,1070.54,3.75685,0.9945,0.499421
mnist,DAP_k20_th3659168.000,100,200,27.7632,1068.67,3.78452,0.9931,0.501773
mnist,DAP_k50_th7065762.000,50,200,27.7671,1069.93,3.60019,0.998,0.5015
mnist,DAP_k100_th5802515.000,100,200,27.778,1072.17,3.71426,0.9936,0.500247
mnist,DAP_k10_th6109670.000,100,200,27.7567,1070.91,3.80767,0.9933,0.501023
mnist,DAP_k20_th8938001.000,100,200,27.7722,1069.39,3.86487,0.9934,0.501052
mnist,DAP_k50_th3452162.000,50,200,27.7728,1070.51,3.7979,0.9984,0.498996
mnist,DAP_k100_th7023451.000,100,200,27.7777,1071.93,4.00049,0.9941,0.501171
mnist,DAP_k10_th3964603.000,100,200,27.7711,1071.62,3.79259,0.9931,0.498414
mnist,DAP_k20_th3805435.000,100,200,27.7854,1068.39,3.7958,0.9937,0.505995
mnist,DAP_k50_th6776736.000,50,200,27.7769,1070.82,3.77287,0.998,0.498674
mnist,DAP_k100_th5849197.000,100,200,27.7712,1071.72,3.89452,0.9937,0.501745
